"Name","Runtime","Tags","ID","State","dataset_idx","epochs","batch_size","eps","learning_rate","seed","dataset","model_architecture","optimizer","d_hidden","d_model","dropout","num_heads","num_layers","diagrams_type","best_test_acc","test/accuracy","test/loss","train/accuracy","train/loss","epoch"
"fmnist [1,7]","10732","fmnist","ndktbl4t","finished","[1,7]","100","32","0.05","0.00017","0","F-MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.7207468051118211","0.7027755591054313","1.0316642896055033","0.8595166666666667","0.3756137224078178","99"
"fmnist [2]","6642","fmnist","wujy5t8t","finished","[2]","100","32","0.05","0.00017","0","F-MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.6491613418530351","0.6253993610223643","1.1770573587844166","0.7610666666666667","0.661476620944341","99"
"fmnsit [0]","5821","fmnist","hmk6ta3o","finished","[0]","100","32","0.05","0.00017","0","F-MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.6936900958466453","0.6418730031948882","1.7604955845176222","0.91865","0.22058155259688697","99"
"kmnist [0,1,2,3,4,5,6,7]","19253","kmnist","ox6rq37q","finished","[0,1,2,3,4,5,6,7]","100","32","0.05","0.00017","0","K-MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.6468650159744409","0.6178115015974441","1.7468711728105148","0.90365","0.2669151407102744","99"
"kmnist [4]","3470","kmnist","xo61g7w5","finished","[4]","100","32","0.05","0.00017","0","K-MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.5188698083067093","0.5032947284345048","1.651000896200966","0.7349666666666667","0.7546518072923024","99"
"kmnist [1,3,5,7]","8768","kmnist","r4y3j8tm","finished","[1,3,5,7]","100","32","0.05","0.00017","0","K-MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.6770167731629393","0.6668330670926518","1.2726876622381302","0.8953833333333333","0.29562595788439117","99"
"kmnist [1,7]","4899","kmnist","8ksda7pw","finished","[1,7]","100","32","0.05","0.00017","0","K-MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.6721246006389776","0.641573482428115","1.4839557479745664","0.9052166666666668","0.2630903707444668","99"
"kmnist [6]","3206","kmnist","2bf5dwt1","finished","[6]","100","32","0.05","0.00017","0","K-MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.5408346645367412","0.527555910543131","1.4854506996873849","0.725","0.8022617569287618","99"
"kmnist [2]","3419","kmnist","y9md2klg","finished","[2]","100","32","0.05","0.00017","0","K-MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.5911541533546326","0.5620007987220448","1.5918838176102683","0.82285","0.5064229565858841","99"
"kmnist [0]","3307","kmnist","6m8ftsxr","finished","[0]","100","32","0.05","0.00017","0","K-MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.6364816293929713","0.5871605431309904","2.408957864339359","0.9349833333333334","0.18189411765038968","99"
"mnist [0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","25254","mnist","4k1gr8m5","finished","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","100","32","0.05","0.00017","0","MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.9312100638977636","0.9275159744408946","0.27438313382143636","0.9664333333333334","0.0965184317988654","99"
"mnist [0,1,2,3,4,5,6,7]","10835","mnist","yqt620bc","finished","[0,1,2,3,4,5,6,7]","100","32","0.05","0.00017","0","MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.9135383386581468","0.9090455271565496","0.3692902110397262","0.9626333333333332","0.10583164064039786","99"
"mnist [1,3,5,7]","6180","mnist","qervfo9q","finished","[1,3,5,7]","100","32","0.05","0.00017","0","MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.941094249201278","0.939197284345048","0.22735314989743677","0.9693833333333334","0.09011655731623372","99"
"mnist [1,7]","4571","mnist","j19yvr6i","finished","[1,7]","100","32","0.05","0.00017","0","MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.8990615015974441","0.8940694888178914","0.3809537059023453","0.9298833333333332","0.20445646273046733","99"
"mnist [1,5]","3602","mnist","rheg6dol","finished","[1,5]","100","32","0.05","0.00017","0","MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.8424520766773163","0.8372603833865815","0.5339081875694255","0.8843833333333333","0.3332696217894554","99"
"mnist [0,8,4,12]","6688","mnist","tg8rb3uh","finished","[0,8,4,12]","100","32","0.05","0.00017","0","MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.900758785942492","0.8913738019169329","0.3748086365743186","0.9444","0.1541734550056358","99"
"mnist [0,2,4,6]","5406","mnist","qa90cbet","finished","[0,2,4,6]","100","32","0.05","0.00017","0","MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.90435303514377","0.8642172523961661","0.5361196344254163","0.95195","0.13795639687379202","99"
"mnist [2,6]","4346","mnist","xfexz4om","finished","[2,6]","100","32","0.05","0.00017","0","MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.8747004792332268","0.8647164536741214","0.447337910360374","0.8988","0.3075000328888496","99"
"mnist [0,4]","3413","mnist","nklmlnxq","finished","[0,4]","100","32","0.05","0.00017","0","MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.8612220447284346","0.8570287539936102","0.557409007744953","0.9361333333333334","0.17444412491967282","99"
"mnist [8]","3041","mnist","o79hy7ev","finished","[8]","100","32","0.05","0.00017","0","MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.6631389776357828","0.6619408945686901","0.9237619870767808","0.6984833333333333","0.8166900361537933","99"
"mnist [2]","3387","mnist","ymam3g0g","finished","[6]","100","32","0.05","0.00017","0","MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.6458666134185304","0.6306908945686901","0.998772246483416","0.6742666666666667","0.8763807313283285","99"
"mnist [6]","2937","mnist","rmnbuwxz","finished","[2]","100","32","0.05","0.00017","0","MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.7939297124600639","0.790535143769968","0.6613836910682745","0.83065","0.49796748862266543","99"
"mnist [4] , lr 17 [4]","3356","lr, mnist","g7n4m5f7","finished","[4]","100","32","0.05","0.00017","0","MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.698382587859425","0.6920926517571885","0.8669775977683144","0.7251833333333333","0.7568811645507812","99"
"mnist [0] ,  lr 17 [0]","2777","lr, mnist","xsg2lycr","finished","[0]","100","32","0.05","0.00017","0","MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.7254392971246006","0.705970447284345","0.9763190573491988","0.8319","0.44243989035288495","99"
